				Presencia/Ausencia en Biomas									
FAMILIA	GÉNERO	ESPECIE	nombre científico (género + especie)	I	II	II-III	III	IV	V	VI	VII	VIII	IX
Emydidae	Emys	blandingii	Emys blandingii	0	0	0	0	0	0	1	0	0	0
Emydidae	Emys	orbicularis	Emys orbicularis	0	0	0	0	1	1	1	1	0	0
Emydidae	Emys	trinacris	Emys trinacris	0	0	0	0	1	0	0	0	0	0
Emydidae	Terrapene	mexicana	Terrapene mexicana	0	1	0	0	0	1	1	0	0	0
Emydidae	Terrapene	coahuila	Terrapene coahuila	0	1	0	0	0	0	0	0	0	0
Emydidae	Terrapene	nelsoni	Terrapene nelsoni	0	1	0	0	0	0	0	0	0	0
Emydidae	Terrapene	ornata	Terrapene ornata	0	1	1	1	0	0	1	1	0	0
Emydidae	Terrapene	yucatana	Terrapene yucatana	0	1	0	0	0	0	0	0	0	0
Emydidae	Deirochelys	r.chrysea	Deirochelys reticularia	0	1	0	0	0	1	1	0	0	0
Emydidae	Chrysemys	dorsalis	Chrysemys dorsalis	0	0	0	0	0	1	1	0	0	0
Emydidae	Chrysemys	picta	Chrysemys picta	0	0	0	0	0	1	1	1	0	0
Emydidae	Malaclemys	terrapin	Malaclemys terrapin	0	1	0	0	0	1	1	0	0	0
Emydidae	Trachemys	decussata	Trachemys decussata	1	1	0	0	0	0	0	0	0	0
Emydidae	Trachemys	terrapen	Trachemys terrapen	0	1	0	0	0	0	0	0	0	0
Emydidae	Trachemys	decorata	Trachemys decorata	1	0	0	0	0	0	0	0	0	0
Emydidae	Trachemys	stejnegeri	Trachemys stejnegeri	1	1	0	0	0	0	0	0	0	0
Emydidae	Trachemys	adiutrix	Trachemys adiutrix	0	0	1	0	0	0	0	0	0	0
Emydidae	Trachemys	gaigeae	Trachemys gaigeae	0	0	1	0	0	0	0	0	0	0
Emydidae	Trachemys	nebulosa	Trachemys nebulosa	0	1	0	1	0	0	0	0	0	0
Emydidae	Trachemys	dorbigni	Trachemys dorbigni	0	0	0	0	0	1	0	0	0	0
Emydidae	Trachemys	taylori	Trachemys taylori	0	0	1	0	0	0	0	0	0	0
Emydidae	Trachemys	callirostris	Trachemys callirostris	1	1	1	0	0	0	0	0	0	0
